Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"FS","Données de la sécurité alimentaire","028","Antigua-et-Barbuda","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2018","2018","indice","0.84","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","028","Antigua-et-Barbuda","6128","Valeur","21056","Besoins énergétiques alimentaires minimaux (kcal/personne/jour)","2018","2018","Kcal/personne/jour","1888","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","028","Antigua-et-Barbuda","6128","Valeur","21057","Besoins énergétiques alimentaires moyens (kcal/personne/jour)","2018","2018","Kcal/personne/jour","2449","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","682","Arabie saoudite","6123","Valeur","21013","Disponibilités protéiques moyennes (g/personne/jour) (moyenne sur 3 ans)","20172019","2017-2019","g/personne/jour","87.7","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","682","Arabie saoudite","6123","Valeur","21014","Disponibilités protéines moyennes d’origine animale (g/personne/jour) (moyenne sur 3 ans)","20172019","2017-2019","g/personne/jour","33.7","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","682","Arabie saoudite","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2018","2018","I$","47630","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","682","Arabie saoudite","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2018","2018","indice","-0.62","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","682","Arabie saoudite","6128","Valeur","21056","Besoins énergétiques alimentaires minimaux (kcal/personne/jour)","2018","2018","Kcal/personne/jour","1873","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","682","Arabie saoudite","6128","Valeur","21057","Besoins énergétiques alimentaires moyens (kcal/personne/jour)","2018","2018","Kcal/personne/jour","2422","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","032","Argentine","6123","Valeur","21013","Disponibilités protéiques moyennes (g/personne/jour) (moyenne sur 3 ans)","20172019","2017-2019","g/personne/jour","106.3","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","032","Argentine","6123","Valeur","21014","Disponibilités protéines moyennes d’origine animale (g/personne/jour) (moyenne sur 3 ans)","20172019","2017-2019","g/personne/jour","67.7","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","032","Argentine","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2018","2018","I$","22747.2","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","032","Argentine","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2018","2018","indice","0.01","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","032","Argentine","6128","Valeur","21056","Besoins énergétiques alimentaires minimaux (kcal/personne/jour)","2018","2018","Kcal/personne/jour","1860","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","032","Argentine","6128","Valeur","21057","Besoins énergétiques alimentaires moyens (kcal/personne/jour)","2018","2018","Kcal/personne/jour","2412","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","051","Arménie","6123","Valeur","21013","Disponibilités protéiques moyennes (g/personne/jour) (moyenne sur 3 ans)","20172019","2017-2019","g/personne/jour","96","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","051","Arménie","6123","Valeur","21014","Disponibilités protéines moyennes d’origine animale (g/personne/jour) (moyenne sur 3 ans)","20172019","2017-2019","g/personne/jour","48","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","051","Arménie","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2018","2018","I$","12715.1","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","051","Arménie","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2018","2018","indice","-0.44","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","051","Arménie","6128","Valeur","21056","Besoins énergétiques alimentaires minimaux (kcal/personne/jour)","2018","2018","Kcal/personne/jour","1873","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","051","Arménie","6128","Valeur","21057","Besoins énergétiques alimentaires moyens (kcal/personne/jour)","2018","2018","Kcal/personne/jour","2430","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","036","Australie","6123","Valeur","21013","Disponibilités protéiques moyennes (g/personne/jour) (moyenne sur 3 ans)","20172019","2017-2019","g/personne/jour","106.7","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","036","Australie","6123","Valeur","21014","Disponibilités protéines moyennes d’origine animale (g/personne/jour) (moyenne sur 3 ans)","20172019","2017-2019","g/personne/jour","71.7","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","036","Australie","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2018","2018","I$","49029.1","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","036","Australie","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2018","2018","indice","0.99","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","036","Australie","6128","Valeur","21056","Besoins énergétiques alimentaires minimaux (kcal/personne/jour)","2018","2018","Kcal/personne/jour","1909","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","036","Australie","6128","Valeur","21057","Besoins énergétiques alimentaires moyens (kcal/personne/jour)","2018","2018","Kcal/personne/jour","2483","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","040","Autriche","6123","Valeur","21013","Disponibilités protéiques moyennes (g/personne/jour) (moyenne sur 3 ans)","20172019","2017-2019","g/personne/jour","108","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","040","Autriche","6123","Valeur","21014","Disponibilités protéines moyennes d’origine animale (g/personne/jour) (moyenne sur 3 ans)","20172019","2017-2019","g/personne/jour","64","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","040","Autriche","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2018","2018","I$","55258.4","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","040","Autriche","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2018","2018","indice","0.9","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","040","Autriche","6128","Valeur","21056","Besoins énergétiques alimentaires minimaux (kcal/personne/jour)","2018","2018","Kcal/personne/jour","1943","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","040","Autriche","6128","Valeur","21057","Besoins énergétiques alimentaires moyens (kcal/personne/jour)","2018","2018","Kcal/personne/jour","2537","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","031","Azerbaïdjan","6123","Valeur","21013","Disponibilités protéiques moyennes (g/personne/jour) (moyenne sur 3 ans)","20172019","2017-2019","g/personne/jour","93.7","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","031","Azerbaïdjan","6123","Valeur","21014","Disponibilités protéines moyennes d’origine animale (g/personne/jour) (moyenne sur 3 ans)","20172019","2017-2019","g/personne/jour","33","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","031","Azerbaïdjan","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2018","2018","I$","14209.6","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","031","Azerbaïdjan","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2018","2018","indice","-0.71","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","031","Azerbaïdjan","6128","Valeur","21056","Besoins énergétiques alimentaires minimaux (kcal/personne/jour)","2018","2018","Kcal/personne/jour","1863","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","031","Azerbaïdjan","6128","Valeur","21057","Besoins énergétiques alimentaires moyens (kcal/personne/jour)","2018","2018","Kcal/personne/jour","2407","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","044","Bahamas","6123","Valeur","21013","Disponibilités protéiques moyennes (g/personne/jour) (moyenne sur 3 ans)","20172019","2017-2019","g/personne/jour","","O","Valeur manquante",""
"FS","Données de la sécurité alimentaire","044","Bahamas","6123","Valeur","21014","Disponibilités protéines moyennes d’origine animale (g/personne/jour) (moyenne sur 3 ans)","20172019","2017-2019","g/personne/jour","","O","Valeur manquante",""
"FS","Données de la sécurité alimentaire","044","Bahamas","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2018","2018","I$","36200.7","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","044","Bahamas","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2018","2018","indice","0.86","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","044","Bahamas","6128","Valeur","21056","Besoins énergétiques alimentaires minimaux (kcal/personne/jour)","2018","2018","Kcal/personne/jour","1902","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","044","Bahamas","6128","Valeur","21057","Besoins énergétiques alimentaires moyens (kcal/personne/jour)","2018","2018","Kcal/personne/jour","2470","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","048","Bahreïn","6123","Valeur","21013","Disponibilités protéiques moyennes (g/personne/jour) (moyenne sur 3 ans)","20172019","2017-2019","g/personne/jour","","O","Valeur manquante",""
"FS","Données de la sécurité alimentaire","048","Bahreïn","6123","Valeur","21014","Disponibilités protéines moyennes d’origine animale (g/personne/jour) (moyenne sur 3 ans)","20172019","2017-2019","g/personne/jour","","O","Valeur manquante",""
"FS","Données de la sécurité alimentaire","048","Bahreïn","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2018","2018","I$","46377.7","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","048","Bahreïn","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2018","2018","indice","-0.85","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","048","Bahreïn","6128","Valeur","21056","Besoins énergétiques alimentaires minimaux (kcal/personne/jour)","2018","2018","Kcal/personne/jour","1952","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","048","Bahreïn","6128","Valeur","21057","Besoins énergétiques alimentaires moyens (kcal/personne/jour)","2018","2018","Kcal/personne/jour","2538","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","050","Bangladesh","6123","Valeur","21013","Disponibilités protéiques moyennes (g/personne/jour) (moyenne sur 3 ans)","20172019","2017-2019","g/personne/jour","60.3","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","050","Bangladesh","6123","Valeur","21014","Disponibilités protéines moyennes d’origine animale (g/personne/jour) (moyenne sur 3 ans)","20172019","2017-2019","g/personne/jour","12","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","050","Bangladesh","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2018","2018","I$","5197.8","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","050","Bangladesh","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2018","2018","indice","-1","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","050","Bangladesh","6128","Valeur","21056","Besoins énergétiques alimentaires minimaux (kcal/personne/jour)","2018","2018","Kcal/personne/jour","1785","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","050","Bangladesh","6128","Valeur","21057","Besoins énergétiques alimentaires moyens (kcal/personne/jour)","2018","2018","Kcal/personne/jour","2299","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","052","Barbade","6123","Valeur","21013","Disponibilités protéiques moyennes (g/personne/jour) (moyenne sur 3 ans)","20172019","2017-2019","g/personne/jour","88.3","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","052","Barbade","6123","Valeur","21014","Disponibilités protéines moyennes d’origine animale (g/personne/jour) (moyenne sur 3 ans)","20172019","2017-2019","g/personne/jour","49.7","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","052","Barbade","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2018","2018","I$","15615.7","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","052","Barbade","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2018","2018","indice","0.91","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","052","Barbade","6128","Valeur","21056","Besoins énergétiques alimentaires minimaux (kcal/personne/jour)","2018","2018","Kcal/personne/jour","1908","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","052","Barbade","6128","Valeur","21057","Besoins énergétiques alimentaires moyens (kcal/personne/jour)","2018","2018","Kcal/personne/jour","2484","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","112","Bélarus","6123","Valeur","21013","Disponibilités protéiques moyennes (g/personne/jour) (moyenne sur 3 ans)","20172019","2017-2019","g/personne/jour","90","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","112","Bélarus","6123","Valeur","21014","Disponibilités protéines moyennes d’origine animale (g/personne/jour) (moyenne sur 3 ans)","20172019","2017-2019","g/personne/jour","49.3","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","112","Bélarus","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2018","2018","I$","18974.7","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","112","Bélarus","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2018","2018","indice","0.35","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","112","Bélarus","6128","Valeur","21056","Besoins énergétiques alimentaires minimaux (kcal/personne/jour)","2018","2018","Kcal/personne/jour","1891","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","112","Bélarus","6128","Valeur","21057","Besoins énergétiques alimentaires moyens (kcal/personne/jour)","2018","2018","Kcal/personne/jour","2454","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","056","Belgique","6123","Valeur","21013","Disponibilités protéiques moyennes (g/personne/jour) (moyenne sur 3 ans)","20172019","2017-2019","g/personne/jour","98.7","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","056","Belgique","6123","Valeur","21014","Disponibilités protéines moyennes d’origine animale (g/personne/jour) (moyenne sur 3 ans)","20172019","2017-2019","g/personne/jour","58","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","056","Belgique","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2018","2018","I$","51139.1","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","056","Belgique","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2018","2018","indice","0.4","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","056","Belgique","6128","Valeur","21056","Besoins énergétiques alimentaires minimaux (kcal/personne/jour)","2018","2018","Kcal/personne/jour","1946","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","056","Belgique","6128","Valeur","21057","Besoins énergétiques alimentaires moyens (kcal/personne/jour)","2018","2018","Kcal/personne/jour","2539","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","084","Belize","6123","Valeur","21013","Disponibilités protéiques moyennes (g/personne/jour) (moyenne sur 3 ans)","20172019","2017-2019","g/personne/jour","70","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","084","Belize","6123","Valeur","21014","Disponibilités protéines moyennes d’origine animale (g/personne/jour) (moyenne sur 3 ans)","20172019","2017-2019","g/personne/jour","29.4","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","084","Belize","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2018","2018","I$","7148.1","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","084","Belize","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2018","2018","indice","0","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","084","Belize","6128","Valeur","21056","Besoins énergétiques alimentaires minimaux (kcal/personne/jour)","2018","2018","Kcal/personne/jour","1769","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","084","Belize","6128","Valeur","21057","Besoins énergétiques alimentaires moyens (kcal/personne/jour)","2018","2018","Kcal/personne/jour","2278","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","204","Bénin","6123","Valeur","21013","Disponibilités protéiques moyennes (g/personne/jour) (moyenne sur 3 ans)","20172019","2017-2019","g/personne/jour","63","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","204","Bénin","6123","Valeur","21014","Disponibilités protéines moyennes d’origine animale (g/personne/jour) (moyenne sur 3 ans)","20172019","2017-2019","g/personne/jour","12.3","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","204","Bénin","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2018","2018","I$","3160.8","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","204","Bénin","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2018","2018","indice","-0.14","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","204","Bénin","6128","Valeur","21056","Besoins énergétiques alimentaires minimaux (kcal/personne/jour)","2018","2018","Kcal/personne/jour","1725","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","204","Bénin","6128","Valeur","21057","Besoins énergétiques alimentaires moyens (kcal/personne/jour)","2018","2018","Kcal/personne/jour","2203","E","Valeur estimée",""
